	Данные измерения магнитометра ПКМ
	Файл: C:\Documents and Settings\sergey\Мои документы\магн_13022016\3.txt

Дата: 00.00.00
Участок: 0
Режим МВС, цикл - 0.1 сек.

   Поле         Время     
049807.719  00:31:16.5  
049809.047  00:31:16.6  
049810.016  00:31:16.7  
049808.488  00:31:16.8  
049808.199  00:31:16.9  
049809.539  00:31:17.0  
049810.699  00:31:17.1  
049814.492  00:31:17.2  
049819.703  00:31:17.3  
049826.113  00:31:17.4  
049830.477  00:31:17.5  
049832.051  00:31:17.6  
049832.391  00:31:17.7  
049833.098  00:31:17.8  
049833.129  00:31:17.9  
049832.383  00:31:18.0  
049830.754  00:31:18.1  
049830.617  00:31:18.2  
049828.828  00:31:18.3  
049827.848  00:31:18.4  
049827.672  00:31:18.5  
049827.027  00:31:18.6  
049823.562  00:31:18.7  
049818.609  00:31:18.8  
049817.039  00:31:18.9  
049814.324  00:31:19.0  
049806.750  00:31:19.1  
049799.012  00:31:19.2  
049790.336  00:31:19.3  
049779.852  00:31:19.4  
049768.363  00:31:19.5  
049757.660  00:31:19.6  
049748.160  00:31:19.7  
049743.945  00:31:19.8  
049742.684  00:31:19.9  
049736.160  00:31:20.0  
049723.598  00:31:20.1  
049713.570  00:31:20.2  
049706.988  00:31:20.3  
049700.047  00:31:20.4  
049694.633  00:31:20.5  
049690.453  00:31:20.6  
049685.801  00:31:20.7  
049680.875  00:31:20.8  
049678.297  00:31:20.9  
049675.742  00:31:21.0  
049674.480  00:31:21.1  
049675.805  00:31:21.2  
049679.934  00:31:21.3  
049681.512  00:31:21.4  
049676.406  00:31:21.5  
049666.703  00:31:21.6  
049656.824  00:31:21.7  
049646.355  00:31:21.8  
049633.867  00:31:21.9  
049617.977  00:31:22.0  
049603.926  00:31:22.1  
049596.441  00:31:22.2  
049591.754  00:31:22.3  
049590.328  00:31:22.4  
049596.230  00:31:22.5  
049611.973  00:31:22.6  
049632.496  00:31:22.7  
049652.125  00:31:22.8  
049665.035  00:31:22.9  
049673.523  00:31:23.0  
049679.957  00:31:23.1  
049686.191  00:31:23.2  
049692.023  00:31:23.3  
049697.895  00:31:23.4  
049703.445  00:31:23.5  
049705.543  00:31:23.6  
049707.969  00:31:23.7  
049709.574  00:31:23.8  
049710.625  00:31:23.9  
049712.570  00:31:24.0  
049713.289  00:31:24.1  
049716.824  00:31:24.2  
049725.137  00:31:24.3  
049731.629  00:31:24.4  
049730.723  00:31:24.5  
049727.672  00:31:24.6  
049724.129  00:31:24.7  
049722.750  00:31:24.8  
049721.840  00:31:24.9  
049720.777  00:31:25.0  
049718.977  00:31:25.1  
049718.746  00:31:25.2  
049720.074  00:31:25.3  
049721.703  00:31:25.4  
049723.117  00:31:25.5  
049724.949  00:31:25.6  
049729.086  00:31:25.7  
049738.816  00:31:25.8  
049750.336  00:31:25.9  
049756.004  00:31:26.0  
049756.227  00:31:26.1  
049756.941  00:31:26.2  
049761.336  00:31:26.3  
049763.789  00:31:26.4  
049763.355  00:31:26.5  
049762.383  00:31:26.6  
049761.027  00:31:26.7  
049761.762  00:31:26.8  
049761.074  00:31:26.9  
049759.660  00:31:27.0  
049756.598  00:31:27.1  
049754.070  00:31:27.2  
049754.305  00:31:27.3  
049759.727  00:31:27.4  
049762.715  00:31:27.5  
049760.715  00:31:27.6  
049758.512  00:31:27.7  
049760.258  00:31:27.8  
049766.820  00:31:27.9  
049776.930  00:31:28.0  
049789.227  00:31:28.1  
049802.602  00:31:28.2  
049816.500  00:31:28.3  
049829.266  00:31:28.4  
049842.027  00:31:28.5  
049855.137  00:31:28.6  
049873.324  00:31:28.7  
049897.117  00:31:28.8  
